,id,text
0,0,"['rt', '@drewfromjersey:', 'your', 'qb', ""ain't"", 'draggin', 'a', 'wagon', 'sad', 'jets', 'https://t', 'co/tfhrugvurk']"
1,0,"['@amazon', 'so', 'sad', 'that', 'i', 'received', 'my', '@antman', '@originalfunko', 'in', 'this', 'condition', 'this', 'isnt', 'from', 'shipping', 'now', 'i', 'have', 'to', 'send', 'back', 'and', 'hope', 'the', 'next', 'one', 'is', 'in', 'great', 'shape', 'amazonexculsive', 'funko', 'antman', 'amazon', 'https://t', 'co/aeyd8yqrj0']"
2,0,"['@mattectomy', 'so', 'sad', 'rip', 'luis']"
3,0,"['@deirbhilesdaddy', '@belfastagmt', 'the', 'sad', 'thing', 'is', 'that', 'his', 'followers', 'will', 'believe', 'that', 'the', 'picture', 'is', 'real']"
4,0,"['finished', 'watching', 'theoa', 'the', 'other', 'day', 'and', 'ive', 'been', 'busy', 'piecing', 'my', 'mind', 'back', 'together', 'ever', 'since', 'if', 'you', 'havent', 'seen', 'it', 'yet', 'youre', 'missing', 'out', 'after', 'that', 'episode', 'i', 'had', 'to', 'get', 'some', 'of', 'my', 'sad', 'energy', 'out', 'so', 'heres', 'a', 'sketch', 'of', 'jesse', 'my', 'fave', 'of', 'the', 'crestwood', '5', 'for', 'part', 'iii', 'https://t', 'co/igzlzpzq4i']"
5,0,"['@bmorsh', 'so', 'sad']"
6,0,"['wtf', 'jimin', 'extra', 'highnote', 'even', 'this', 'is', 'just', 'practice', 'but', 'why', 'that', 'sounds', 'so', 'sad', 'jimin', 'https://t', 'co/3rgvjaftqi']"
7,0,"['@aarondorksen', 'but', 'its', 'a', 'sad', 'story', 'the', 'man', 'is', 'remembered', 'for', 'how', 'he', 'acted', 'as', 'a', 'coach', 'not', 'as', 'the', 'person', 'he', 'was', 'off', 'the', 'court', 'he', 'is', 'a', 'really', 'pleasant', 'man']"
8,0,"['i', 'used', 'to', 'be', 'obsessed', 'with', 'nirvana', 'in', 'middle/beginning', 'of', 'high', 'school', 'and', 'i', 'remember', 'feeling', 'really', 'sad', 'about', 'how', 'kurt', 'cobain', 'felt', 'abt', 'his', 'success', 'and', 'how', 'his', 'life', 'ended', 'so', 'soon', 'and', 'i', 'just', 'read', 'an', 'article', 'abt', 'his', 'final', 'days', 'it', 'made', 'me', 'so', 'depressed', 'now']"
9,0,"['rt', '@nipseyfanpage:', ""nipsey's"", 'friend/business', 'partner', 'clarifies', 'what', 'really', 'happened', 'between', 'eric', 'holder', 'and', 'nip', 'this', 'is', 'just', 'too', 'sad', 'nip', 'd']"
10,0,"['rt', '@amirulsyah_mi:', ""i'm"", 'sad', 'for', 'this', 'https://t', 'co/g8af2v1paf']"
11,0,"['@onemalinh', 'he', 'looks', 'so', 'sad']"
12,0,"['rt', '@oversizedthighs:', 'very', 'tired', 'very', 'fat', 'very', 'sad', 'very', 'behind', 'very', 'over', 'it']"
13,0,"['rt', '@picklerudd:', 'something', 'that', 'makes', 'me', 'sad', 'yet', 'also', 'relieved', 'is', 'that', 'ever', 'since', 'my', 'childhood', ""i've"", 'been', 'waiting', 'for', 'my', 'computer', 'to', 'query']"
14,0,"['rt', '@thefarqueen:', 'dont', 'make', 'me', 'cry', 'and', 'sad', 'on', 'a', 'friday', 'sonicsgate', 'https://t', 'co/1i4k8zocte']"
